"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 14 01:11:07 MSK 2021","Sun Mar 14 01:11:19 MSK 2021","12163","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Mar 14 01:11:28 MSK 2021","Sun Mar 14 01:11:30 MSK 2021","2088","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"skipped","Sun Mar 14 01:12:02 MSK 2021","Sun Mar 14 01:12:04 MSK 2021","2295","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sun Mar 14 01:10:57 MSK 2021","Sun Mar 14 01:10:59 MSK 2021","1712","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Mar 14 01:11:54 MSK 2021","Sun Mar 14 01:11:58 MSK 2021","4176","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sun Mar 14 01:12:54 MSK 2021","Sun Mar 14 01:12:56 MSK 2021","1995","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sun Mar 14 01:11:02 MSK 2021","Sun Mar 14 01:11:04 MSK 2021","1512","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Sun Mar 14 01:12:25 MSK 2021","Sun Mar 14 01:12:37 MSK 2021","11977","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Mar 14 01:11:22 MSK 2021","Sun Mar 14 01:11:25 MSK 2021","2418","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"skipped","Sun Mar 14 01:12:41 MSK 2021","Sun Mar 14 01:12:47 MSK 2021","6015","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Mar 14 01:12:50 MSK 2021","Sun Mar 14 01:12:51 MSK 2021","1028","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sun Mar 14 01:11:33 MSK 2021","Sun Mar 14 01:11:35 MSK 2021","2118","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sun Mar 14 01:11:38 MSK 2021","Sun Mar 14 01:11:41 MSK 2021","2437","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"skipped","Sun Mar 14 01:12:20 MSK 2021","Sun Mar 14 01:12:22 MSK 2021","2064","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Mar 14 01:12:07 MSK 2021","Sun Mar 14 01:12:09 MSK 2021","2116","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sun Mar 14 01:11:49 MSK 2021","Sun Mar 14 01:11:51 MSK 2021","2099","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sun Mar 14 01:13:41 MSK 2021","Sun Mar 14 01:13:44 MSK 2021","2595","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sun Mar 14 01:12:59 MSK 2021","Sun Mar 14 01:13:11 MSK 2021","12093","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sun Mar 14 01:11:44 MSK 2021","Sun Mar 14 01:11:46 MSK 2021","2069","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sun Mar 14 01:13:21 MSK 2021","Sun Mar 14 01:13:32 MSK 2021","11161","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sun Mar 14 01:12:13 MSK 2021","Sun Mar 14 01:12:17 MSK 2021","3567","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
